"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"0400000US46","South Dakota","849651","1696","214461","4279","15523","2026","13452","1790","45213","2698","49641","2665","43382","2028","39996","2427","7254","1314","635190","4249"
"0400000US47","Tennessee","6586649","6895","1572331","13337","88895","5578","82161","4616","321487","9627","356534","9468","342101","6350","303160","10153","77993","5702","5014318","13315"
"0400000US48","Texas","27854473","14890","7763174","33466","466305","13023","414867","13628","1605125","19530","1735884","22582","1668907","17907","1522926","28038","349160","14234","20091299","35332"
"0400000US49","Utah","3065831","4428","1012792","9288","62386","3650","53254","3510","206069","4341","215431","6042","210717","5014","223677","7473","41258","3618","2053039","10054"
"0400000US50","Vermont","606267","1047","144066","3379","9390","1159","6298","1012","25089","1787","24641","1568","28575","1594","41494","2509","8579","1473","462201","3415"
"0400000US51","Virginia","8239980","5581","2118036","10957","132600","5671","93308","4703","409466","8002","425920","9458","435600","8149","476758","8545","144384","7033","6121944","10495"
"0400000US53","Washington","7351064","6503","1764122","13695","122229","6487","95733","4772","351490","7465","377519","8405","370024","6288","364428","10222","82699","5535","5586942","12873"
"0400000US54","West Virginia","1737300","2589","373698","7095","19844","2753","19212","2331","76156","3439","81596","3591","83918","3728","74129","4751","18843","2329","1363602","6753"
"0400000US55","Wisconsin","5633343","4072","1384039","10242","73575","3530","81739","4291","270184","6984","294851","6026","297978","4537","300935","7704","64777","4498","4249304","9747"
"0400000US56","Wyoming","559758","1567","146180","4338","8160","1448","6715","1442","33413","3047","31307","2767","29007","2504","29989","3020","7589","1588","413578","4174"
"0400000US72","Puerto Rico","3131078","2638","747920","8858","34961","3234","26301","2954","129308","5574","149770","6120","154094","5425","209704","6395","43782","3869","2383158","8604"
